"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"104",104,"60-16-col-wd-2.tif",2,"771fef1e-ad6d-4531-b853-fd6d03d841e6",26.172504,6.58,930,112,927,138,52.11,-1,-1,-1,-1,-1,-1,16,2,0.09,930,2185,2159,927
"105",105,"60-16-col-wd-2.tif",2,"f41e4fb2-f85f-4d4f-b898-812a213a84b6",59.20304,37.45,995,113,1031,160,46,-1,-1,-1,-1,-1,-1,16,2,0.2,995,2184,2137,1031
"106",106,"60-16-col-wd-2.tif",2,"af104308-b78e-4318-b702-5793a460205c",44.14748,13.09,827,124,837,167,52.02,-1,-1,-1,-1,-1,-1,16,2,0.15,827,2173,2130,837
"107",107,"60-16-col-wd-2.tif",2,"fe53a722-d2c0-4b73-ad6c-87dfd22c9cf0",45.35416,14.04,926,152,915,196,58.14,-1,-1,-1,-1,-1,-1,16,2,0.15,926,2145,2101,915
"108",108,"60-16-col-wd-2.tif",2,"601235d2-bd62-45a7-876a-98bce710a530",81.63332,30.96,803,153,761,223,57.16,-1,-1,-1,-1,-1,-1,16,2,0.27,803,2144,2074,761
"109",109,"60-16-col-wd-2.tif",2,"92624f07-9f60-402a-bd07-265d68268d7c",50.77401,32.13,1031,161,1058,204,49.31,-1,-1,-1,-1,-1,-1,16,2,0.17,1031,2136,2093,1058
"110",110,"60-16-col-wd-2.tif",2,"25397865-bf07-4acc-9833-5044199d69a4",53.75872,43.49,932,202,969,241,53.54,-1,-1,-1,-1,-1,-1,16,2,0.18,932,2095,2056,969
"111",111,"60-16-col-wd-2.tif",2,"97a313e7-0999-451a-9c2f-fb50dce55194",35.383614,47.29,757,232,731,256,60.2,-1,-1,-1,-1,-1,-1,16,2,0.12,757,2065,2041,731
"112",112,"60-16-col-wd-2.tif",2,"50fe4acd-96c3-4971-b771-f232764e2385",39.623226,47.05,970,238,999,265,56.63,-1,-1,-1,-1,-1,-1,16,2,0.13,970,2059,2032,999
"113",113,"60-16-col-wd-2.tif",2,"c8b44f9b-44c1-4e8d-8390-b0bd64fdc3d7",25.96151,15.64,1007,240,1000,265,56.39,-1,-1,-1,-1,-1,-1,16,2,0.09,1007,2057,2032,1000
"114",114,"60-16-col-wd-2.tif",2,"50ac683f-05fd-41ed-a17b-91bf6e275a39",120.20815,16.93,1148,257,1183,372,56.15,-1,-1,-1,-1,-1,-1,16,2,0.4,1148,2040,1925,1183
"115",115,"60-16-col-wd-2.tif",2,"2759f3f6-4cfd-40be-ab0c-4574ce58088f",37.85499,12.2,1004,266,996,303,51.97,-1,-1,-1,-1,-1,-1,16,2,0.13,1004,2031,1994,996
"116",116,"60-16-col-wd-2.tif",2,"de135e41-308b-44cc-aeef-e087424464de",29.732138,19.65,988,269,998,297,52.34,-1,-1,-1,-1,-1,-1,16,2,0.1,988,2028,2000,998
"117",117,"60-16-col-wd-2.tif",2,"47fffdac-3546-4d9d-9f5d-dfcf96d3966b",87.46428,5.91,958,288,967,375,47.33,-1,-1,-1,-1,-1,-1,16,2,0.29,958,2009,1922,967
"118",118,"60-16-col-wd-2.tif",2,"8dab1c9b-0487-4138-b30f-0199aa21e4d6",43.68066,15.95,876,296,888,338,48.35,-1,-1,-1,-1,-1,-1,16,2,0.15,876,2001,1959,888
"119",119,"60-16-col-wd-2.tif",2,"77264bd0-8906-4965-b6e0-0dd9ee86c40f",81.9878,30,1045,306,1086,377,51.63,-1,-1,-1,-1,-1,-1,16,2,0.28,1045,1991,1920,1086
"120",120,"60-16-col-wd-2.tif",2,"0970df4e-5578-4fa1-847b-ab1c3e80cdd2",28.635643,65.22,957,315,931,327,50.88,-1,-1,-1,-1,-1,-1,16,2,0.1,957,1982,1970,931
"121",121,"60-16-col-wd-2.tif",2,"b2ee4c5c-3e56-47a5-b1f3-a577eb04c75d",61.188232,11.31,695,319,683,379,41.72,-1,-1,-1,-1,-1,-1,16,2,0.21,695,1978,1918,683
"122",122,"60-16-col-wd-2.tif",2,"869072f2-3781-480c-a16b-652edb6308e4",175.80103,25.25,981,336,1056,495,46.23,-1,-1,-1,-1,-1,-1,16,2,0.59,981,1961,1802,1056
"123",123,"60-16-col-wd-2.tif",2,"da57edc5-efd2-4801-9347-d91cb930cda3",61.611687,35.75,963,367,927,417,55.15,-1,-1,-1,-1,-1,-1,16,2,0.21,963,1930,1880,927
