image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,7b79a5a3-6ef4-4630-a7a5-abd95ab4475f,7.3884296,2.3165548,19.849434,899,2331
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,066fd8ca-9952-4081-afaa-0816ae86cbbd,5.9535785,2.0649772,79.07591,879,2587
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,5295d18b-0386-440b-b844-163e96108384,6.62069,2.3580728,21.095022,666,602
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,70fc0e3b-3945-4db0-9c9d-51cf42eba99e,6.668639,2.2040815,33.54102,434,612
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,578bca02-de2e-4188-af12-0c3d52b32b00,8.021898,2.6023655,26.400757,487,623
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,44e350d9-e591-41c3-8a77-7611027519ae,9.307693,2.4183884,17.20465,525,754
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,e0f101f2-3636-4a68-892d-e849067b2aa4,8.130953,2.354319,17.464249,547,906
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,53ab9f95-15d2-4f06-9aba-0e42320cc354,9.806123,1.9594171,33.12099,1623,1043
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,c04d60e4-980a-4bf5-87eb-1c8c575d3492,6.1793103,2.0703125,34.058773,1353,1077
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,c0bcede9-64a2-498a-ac20-31f185e5932c,5.601036,1.7446809,40.22437,177,1179
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,47919d5d-9bad-4344-b9e7-bdcdfc15ba1a,6.4248366,2.446592,32.695564,754,1178
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,c4d89a40-88be-46e5-8fd5-743efbfa5b9c,7.980198,2.5570722,22.561028,1016,1249
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,0ae37972-1706-4d28-b759-fcd919fb0f33,7.222772,2.1055517,38.8973,508,1261
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,32b6ab63-0d55-4d30-a59a-5ea3e6fb7df9,6.6879435,2.0805938,25.553865,746,1271
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,66b8a741-b72f-4db5-b685-c4bb8d59f370,10.785714,2.475617,29.529646,1308,1280
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,dadc047a-d578-462a-a3f0-72c87c94e8cd,11.185185,2.2916665,47.518417,1429,1294
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,883a0eb5-aabe-4289-aa81-6a5984c1c43d,6.76699,1.9454807,15.6205,572,1285
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,d230f3b1-5165-4b25-9a2d-41fd64b9fe90,10.108,2.0292838,41.773197,1697,1309
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,41e455e0-9a14-4caa-adc8-4729513e9456,8.129555,1.9198207,45.88028,1484,1361
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,5477efe3-9eab-4e34-a9e4-e2082f119831,8.494949,2.4262784,33.30165,579,1362
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,b7399b8b-8ed5-4da2-81ab-55ca51707abe,7.933921,2.1774013,80.280754,1523,1385
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,9e3b4d23-1113-4abd-8a0a-47e4ebc0db70,9.837838,2.054945,45.617977,1395,1388
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,b0a9875b-52d7-41fa-996b-2842439332d4,5.2357144,1.6166439,42.047592,513,1403
57-ZAT12-5-R24-SR5-FLT542-C-AQ2.tif,3,4c2a7a9d-ac94-49b6-849f-e3d87ed3389f,8.831819,2.9104476,39.849716,797,1479
